"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name"
16,15,49.845833,36.78538,-119.77321,5.069565,"California","Fresno","Fresno"
21,19,49.016667,36.78538,-119.77321,3.1,"California","Fresno","Fresno"
12,11,48.033333,36.78538,-119.77321,2.0375,"California","Fresno","Fresno"
22,20,48.008333,36.78538,-119.77321,1.075,"California","Fresno","Fresno"
19,18,52.2125,36.78538,-119.77321,1.0625,"California","Fresno","Fresno"
17,16,60.370833,36.78538,-119.77321,2.0375,"California","Fresno","Fresno"
10,9,57.083333,36.78538,-119.77321,3.008333,"California","Fresno","Fresno"
8,7,52.033333,36.78538,-119.77321,4.745833,"California","Fresno","Fresno"
23,21,47.6125,36.78538,-119.77321,1.391667,"California","Fresno","Fresno"
41,38,49.858333,36.78538,-119.77321,0.933333,"California","Fresno","Fresno"
46,43,52.683333,36.78538,-119.77321,0.879167,"California","Fresno","Fresno"
51,47,53.141667,36.78538,-119.77321,0.954167,"California","Fresno","Fresno"
45,42,54.229167,36.78538,-119.77321,1.129167,"California","Fresno","Fresno"
42,39,56.725,36.78538,-119.77321,1.691667,"California","Fresno","Fresno"
15,14,54.166667,36.78538,-119.77321,3.45,"California","Fresno","Fresno"
9,8,53.65,36.78538,-119.77321,3.35,"California","Fresno","Fresno"
7,6,51.3125,36.78538,-119.77321,3.820833,"California","Fresno","Fresno"
13,12,53.3375,36.78538,-119.77321,1.691667,"California","Fresno","Fresno"
14,13,51.279167,36.78538,-119.77321,3.904167,"California","Fresno","Fresno"
18,17,49.445833,36.78538,-119.77321,2.116667,"California","Fresno","Fresno"
35,32,51.8,36.78538,-119.77321,1.9125,"California","Fresno","Fresno"
26,24,55.420833,36.78538,-119.77321,1.7625,"California","Fresno","Fresno"
10,9,51.6,36.78538,-119.77321,6.358333,"California","Fresno","Fresno"
17,16,50.441667,36.78538,-119.77321,1.554167,"California","Fresno","Fresno"
25,23,54.608333,36.78538,-119.77321,1.4875,"California","Fresno","Fresno"
31,29,55.020833,36.78538,-119.77321,1.508333,"California","Fresno","Fresno"
43,40,55.404167,36.78538,-119.77321,2.65,"California","Fresno","Fresno"
48,44,52.533333,36.78538,-119.77321,1.679167,"California","Fresno","Fresno"
39,36,53.9875,36.78538,-119.77321,2.266667,"California","Fresno","Fresno"
24,22,52.654167,36.78538,-119.77321,5.979167,"California","Fresno","Fresno"
33,31,53.395833,36.78538,-119.77321,1.966667,"California","Fresno","Fresno"
28,26,57.229167,36.78538,-119.77321,1.816667,"California","Fresno","Fresno"
29,27,57.7375,36.78538,-119.77321,1.495833,"California","Fresno","Fresno"
45,42,54.054167,36.78538,-119.77321,2.233333,"California","Fresno","Fresno"
35,32,55.795833,36.78538,-119.77321,1.658333,"California","Fresno","Fresno"
43,40,58.9125,36.78538,-119.77321,1.608333,"California","Fresno","Fresno"
12,11,55.945833,36.78538,-119.77321,4.3375,"California","Fresno","Fresno"
14,13,53.95,36.78538,-119.77321,2.841667,"California","Fresno","Fresno"
22,20,48.733333,36.78538,-119.77321,3.925,"California","Fresno","Fresno"
19,18,55.729412,36.78538,-119.77321,2.866667,"California","Fresno","Fresno"
7,6,46.204167,36.78538,-119.77321,3.304167,"California","Fresno","Fresno"
6,6,47.75,36.78538,-119.77321,2.691667,"California","Fresno","Fresno"
17,16,51.495833,36.78538,-119.77321,1.8875,"California","Fresno","Fresno"
16,15,54.291667,36.78538,-119.77321,2.579167,"California","Fresno","Fresno"
16,15,52.595833,36.78538,-119.77321,2.716667,"California","Fresno","Fresno"
4,4,45.245833,36.78538,-119.77321,3.4125,"California","Fresno","Fresno"
16,15,46.6875,36.78538,-119.77321,1.608333,"California","Fresno","Fresno"
19,18,53.075,36.78538,-119.77321,1.05,"California","Fresno","Fresno"
21,19,62.633333,36.78538,-119.77321,2.083333,"California","Fresno","Fresno"
12,11,57.379167,36.78538,-119.77321,3.0125,"California","Fresno","Fresno"
8,7,53.229167,36.78538,-119.77321,6.025,"California","Fresno","Fresno"
12,11,52.6625,36.78538,-119.77321,2.445833,"California","Fresno","Fresno"
18,17,55.558333,36.78538,-119.77321,2.9875,"California","Fresno","Fresno"
43,40,56.729167,36.78538,-119.77321,5.5875,"California","Fresno","Fresno"
37,34,56.616667,36.78538,-119.77321,1.554167,"California","Fresno","Fresno"
18,17,54.695833,36.78538,-119.77321,4.104167,"California","Fresno","Fresno"
24,22,56.870833,36.78538,-119.77321,1.4625,"California","Fresno","Fresno"
25,23,62.320833,36.78538,-119.77321,1.5375,"California","Fresno","Fresno"
23,21,65.970833,36.78538,-119.77321,1.720833,"California","Fresno","Fresno"
23,21,64.658333,36.78538,-119.77321,3.766667,"California","Fresno","Fresno"
28,26,61.3875,36.78538,-119.77321,2.058333,"California","Fresno","Fresno"
32,30,67.341667,36.78538,-119.77321,1.695833,"California","Fresno","Fresno"
34,31,69.220833,36.78538,-119.77321,1.5125,"California","Fresno","Fresno"
34,31,65.978571,36.78538,-119.77321,1.916667,"California","Fresno","Fresno"
37,34,NA,36.78538,-119.77321,3.920833,"California","Fresno","Fresno"
23,21,NA,36.78538,-119.77321,4.129167,"California","Fresno","Fresno"
22,20,64.041176,36.78538,-119.77321,4.708333,"California","Fresno","Fresno"
26,24,64.328571,36.78538,-119.77321,2.191667,"California","Fresno","Fresno"
33,31,65.675,36.78538,-119.77321,3.133333,"California","Fresno","Fresno"
28,26,62.2625,36.78538,-119.77321,4.191667,"California","Fresno","Fresno"
29,27,64.345833,36.78538,-119.77321,2.891667,"California","Fresno","Fresno"
29,27,62.070833,36.78538,-119.77321,3.733333,"California","Fresno","Fresno"
31,29,66.279167,36.78538,-119.77321,2.1875,"California","Fresno","Fresno"
35,32,67.986957,36.78538,-119.77321,2.558333,"California","Fresno","Fresno"
43,40,64.7125,36.78538,-119.77321,3.733333,"California","Fresno","Fresno"
32,30,58.308333,36.78538,-119.77321,2.8625,"California","Fresno","Fresno"
33,31,62.925,36.78538,-119.77321,2.641667,"California","Fresno","Fresno"
33,31,64.966667,36.78538,-119.77321,3.770833,"California","Fresno","Fresno"
32,30,66.7625,36.78538,-119.77321,2.108333,"California","Fresno","Fresno"
25,23,70.716667,36.78538,-119.77321,2.408333,"California","Fresno","Fresno"
34,31,72.758333,36.78538,-119.77321,3.2,"California","Fresno","Fresno"
42,39,67.020833,36.78538,-119.77321,4.3375,"California","Fresno","Fresno"
27,25,62.8375,36.78538,-119.77321,1.945833,"California","Fresno","Fresno"
40,37,65.670833,36.78538,-119.77321,3.391667,"California","Fresno","Fresno"
33,31,63.6,36.78538,-119.77321,3.529167,"California","Fresno","Fresno"
21,19,63.1625,36.78538,-119.77321,4.570833,"California","Fresno","Fresno"
10,9,57.445833,36.78538,-119.77321,3.033333,"California","Fresno","Fresno"
11,10,57.779167,36.78538,-119.77321,5.208333,"California","Fresno","Fresno"
16,15,60.041667,36.78538,-119.77321,2.791667,"California","Fresno","Fresno"
