"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name","type_of_day","type_of_day01"
35,32,63.958333,35.356615,-119.062613,2.716667,"California","Kern","Bakersfield","Healthy air quality",1
35,32,64.9875,35.356615,-119.062613,2.116667,"California","Kern","Bakersfield","Healthy air quality",1
42,39,69.35,35.356615,-119.062613,2.425,"California","Kern","Bakersfield","Healthy air quality",1
36,33,64.725,35.356615,-119.062613,2.808333,"California","Kern","Bakersfield","Healthy air quality",1
44,41,66.875,35.356615,-119.062613,1.875,"California","Kern","Bakersfield","Healthy air quality",1
31,29,63.658333,35.356615,-119.062613,2.904167,"California","Kern","Bakersfield","Healthy air quality",1
38,35,66.720833,35.356615,-119.062613,1.779167,"California","Kern","Bakersfield","Healthy air quality",1
40,37,69.8875,35.356615,-119.062613,2.354167,"California","Kern","Bakersfield","Healthy air quality",1
66,56,67.6625,35.356615,-119.062613,4.129167,"California","Kern","Bakersfield","Unhealthy air quality",0
35,32,59.5125,35.356615,-119.062613,3.133333,"California","Kern","Bakersfield","Healthy air quality",1
42,39,63.1875,35.356615,-119.062613,1.9125,"California","Kern","Bakersfield","Healthy air quality",1
45,42,65.220833,35.356615,-119.062613,2.283333,"California","Kern","Bakersfield","Healthy air quality",1
43,40,69.145833,35.356615,-119.062613,2.8125,"California","Kern","Bakersfield","Healthy air quality",1
31,29,72.208333,35.356615,-119.062613,2.641667,"California","Kern","Bakersfield","Healthy air quality",1
40,37,74.129167,35.356615,-119.062613,2.3875,"California","Kern","Bakersfield","Healthy air quality",1
57,52,72.033333,35.356615,-119.062613,3.2625,"California","Kern","Bakersfield","Unhealthy air quality",0
27,25,63.4375,35.356615,-119.062613,2.533333,"California","Kern","Bakersfield","Healthy air quality",1
32,30,68.195833,35.356615,-119.062613,3.35,"California","Kern","Bakersfield","Healthy air quality",1
28,26,66.720833,35.356615,-119.062613,3.529167,"California","Kern","Bakersfield","Healthy air quality",1
19,18,66.033333,35.356615,-119.062613,3.6125,"California","Kern","Bakersfield","Healthy air quality",1
9,8,58.458333,35.356615,-119.062613,2.870833,"California","Kern","Bakersfield","Healthy air quality",1
6,6,57.1375,35.356615,-119.062613,3.158333,"California","Kern","Bakersfield","Healthy air quality",1
15,14,60.9875,35.356615,-119.062613,2.966667,"California","Kern","Bakersfield","Healthy air quality",1
27,25,68.225,35.356615,-119.062613,2.145833,"California","Kern","Bakersfield","Healthy air quality",1
44,41,75.275,35.356615,-119.062613,2.2375,"California","Kern","Bakersfield","Healthy air quality",1
51,47,78.708333,35.356615,-119.062613,2.154167,"California","Kern","Bakersfield","Healthy air quality",1
38,35,74.15,35.356615,-119.062613,3.854167,"California","Kern","Bakersfield","Healthy air quality",1
32,30,69.066667,35.356615,-119.062613,3.333333,"California","Kern","Bakersfield","Healthy air quality",1
