Light,Turbidity,Survival
4.5,2,56.8
4.5,2,56.04
4.5,2,47.74
4.5,2,45.02
9,2,45.94
9,2,54.2
9,2,56.56
9,2,56.88
4.5,9,55.05
4.5,9,81.48
4.5,9,76.16
4.5,9,58.56
6.75,5.5,89.09
6.75,5.5,69.17
6.75,5.5,61.93
6.75,5.5,81.88
9,9,66.6
9,9,62.05
9,9,62.69
9,9,60.56
